Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Andy Mandoiu,Ivan Turbinca,"£21,831",27-Apr-22,April,Q1,Midlands,Derby,Theatre,"£30,000 and below",
Jade Sloan,Pricks 2022,"£13,500",27-Apr-22,April,Q1,North,Darlington,Theatre,"£30,000 and below",
Torbay Community Development Trust Ltd,The Imagine This Festival,"£19,912",27-Apr-22,April,Q1,South West,Torbay,Combined arts,"£30,000 and below",
Omar Khan,A Beginner's Guide to Widowhood Final R&D,"£19,138",27-Apr-22,April,Q1,Midlands,Derby,Theatre,"£30,000 and below",
Natalie Diddams,The Assembly Women,"£20,000",27-Apr-22,April,Q1,North,Manchester,Theatre,"£30,000 and below",
multi story theatre company,Where To Begin,"£24,117",27-Apr-22,April,Q1,South West,North Devon,Theatre,"£30,000 and below",
Tereza Hurlow,Little Queens,"£29,142",27-Apr-22,April,Q1,Midlands,Birmingham,Visual arts,"£30,000 and below",
Spin Arts,Consolidating Spin Arts artistic & org dev to make art in the community,"£32,413",27-Apr-22,April,Q1,North,Bradford,Dance,"£30,000 and below",
Northern Quarter Jazz Ltd,NQ Jazz,"£33,942",27-Apr-22,April,Q1,North,Manchester,Music,"£30,000 and below",Supporting Grassroots Live Music
Jean Abreu Dance Ltd,"Deciphers - International collaboration, artistic research & partnership development","£23,414",27-Apr-22,April,Q1,South East,Luton,Dance,"£30,000 and below",
Brighton Youth Centre,Bfest22,"£30,000",27-Apr-22,April,Q1,South East,Brighton and Hove,Combined arts,"£30,000 and below",
Trestle Theatre Company,All About Us! Festival,"£29,650",27-Apr-22,April,Q1,South East,St Albans,Theatre,"£30,000 and below",
Peterborough Sings!,Men's Voices,"£16,063",27-Apr-22,April,Q1,South East,Peterborough,Music,"£30,000 and below",
Khalid Abdalla,Nowhere R&D and script development,"£29,990",27-Apr-22,April,Q1,London,Southwark,Theatre,"£30,000 and below",
Lily Fernanda Muñoz-Newsome,Inchoate Buzz at LCMF and ICA,"£25,640",27-Apr-22,April,Q1,London,Southwark,Dance,"£30,000 and below",
Michelle Harland,Missing Women,"£31,099",27-Apr-22,April,Q1,North,County Durham,Combined arts,"£30,000 and below",
SPID Theatre,Burning memories,"£25,000",27-Apr-22,April,Q1,London,Haringey,Theatre,"£30,000 and below",
Yurim Gough,VainEgo,"£5,718",27-Apr-22,April,Q1,South East,Cambridge,Combined arts,"£30,000 and below",
Brave Bold Drama Community Interest Company,Hartcliffe and Withywood Creates,"£29,992",27-Apr-22,April,Q1,South West,"Bristol, City of",Theatre,"£30,000 and below",
Hyperactive Developments Limited,Crate Digging: An Immersive Journey Back to De Underground Records The Birthplace of Jungle Music,"£29,500",27-Apr-22,April,Q1,London,0,Visual arts,"£30,000 and below",
Urban Wilderness Stoke CIC,Public Realm in Longton,"£30,000",27-Apr-22,April,Q1,Midlands,Stoke-on-Trent,Combined arts,"£30,000 and below",
Collette Murray,The Lost Words - Bolton and NW,"£29,650",27-Apr-22,April,Q1,North,Bury,Theatre,"£30,000 and below",
Hiba Elhindi,SuFIA: Sudanese Folk Inspired Arts,"£30,000",27-Apr-22,April,Q1,South West,Bath and North East Somerset,Combined arts,"£30,000 and below",
Made By Mortals,Armchair Adventures Tameside,"£29,950",27-Apr-22,April,Q1,North,Tameside,Theatre,"£30,000 and below",
Kingston Theatre Trust,The Caucasian Chalk Circle,"£15,000",27-Apr-22,April,Q1,London,Kingston upon Thames,Theatre,"£30,000 and below",
Vanitas,Digital Story Carousel,"£29,240",27-Apr-22,April,Q1,North,Sheffield,Combined arts,"£30,000 and below",
Lucy Orta-Jenkinson,Traces: Stories of Migration,"£29,945",27-Apr-22,April,Q1,London,Westminster,Visual arts,"£30,000 and below",
Ben Brown,Waaju & Majid Bekkas Live Collaboration,"£3,948",27-Apr-22,April,Q1,London,Haringey,Music,"£30,000 and below",
Jasbeer Swali,"Addressing inequality within the arts through programming, local people and communities 2022","£16,750",27-Apr-22,April,Q1,Midlands,Nottingham,Combined arts,"£30,000 and below",
Little Earthquake,The Dog With Two Dads at MAC Birmingham,"£27,049",27-Apr-22,April,Q1,Midlands,Birmingham,Theatre,"£30,000 and below",
Anthony Ikenwe,Anansi Tales,"£13,450",27-Apr-22,April,Q1,London,Islington,Literature,"£30,000 and below",
Sandrine Monin,Feathers - R&D with Blind & VI people,"£30,000",27-Apr-22,April,Q1,North,Leeds,Dance,"£30,000 and below",
Rhythm Passport LTD,Arsenal of Sounds,"£30,000",27-Apr-22,April,Q1,London,Greenwich,Music,"£30,000 and below",Supporting Grassroots Live Music
Streatham Space Project,The Fighting Spirit of South London,"£28,663",27-Apr-22,April,Q1,London,Lambeth,Visual arts,"£30,000 and below",
Posh Club Dance Club,The Royale Dancehall Flamingos - Live!,"£37,500",27-Apr-22,April,Q1,South West,Stroud,Music,"£30,000 and below",
Samuel Rees,have you ever wondered?,"£6,011",27-Apr-22,April,Q1,South East,West Suffolk,Theatre,"£30,000 and below",
Shed Project,Queer Lives and Art: Radical Textiles,"£10,998",27-Apr-22,April,Q1,London,Merton,Visual arts,"£30,000 and below",
Antonia Kleopa,VOID,"£2,783",27-Apr-22,April,Q1,London,Barnet,Theatre,"£30,000 and below",
BRiGHTBLACK Productions Ltd,The Black Rabbit - new ways of making theatre,"£29,952",27-Apr-22,April,Q1,London,Southwark,Theatre,"£30,000 and below",
London Borough of Newham,Newham Word Festival 2022,"£25,000",27-Apr-22,April,Q1,London,Newham,Literature,"£30,000 and below",
Merseyside Dance Initiative,Digital Dance Hub,"£29,999",27-Apr-22,April,Q1,North,Liverpool,Dance,"£30,000 and below",
Desiree McDougall,Community-based outreach and development of theatre performance Norvil and Josephine,"£27,045",27-Apr-22,April,Q1,London,Lambeth,Theatre,"£30,000 and below",
Jo Clements,Everyone in this room is connected to everyone in this room,"£29,500",27-Apr-22,April,Q1,North,Salford,Visual arts,"£30,000 and below",
Nicole Vivien Watson,Development of Choreographic Practice in Partnership with BALTIC Centre for Contemporary Art,"£28,549",27-Apr-22,April,Q1,North,Sunderland,Combined arts,"£30,000 and below",
Mrs Bakers Medway Theatre Company Ltd,'The Trip to Japan' Movement Piece,"£20,000",26-Apr-22,April,Q1,South East,Medway,Theatre,"£30,000 and below",
Laura Wyatt O'Keeffe,"Religion & Queerness: using drag & cabaret to explore the relationship between religion, queer identity & sexuality","£13,000",26-Apr-22,April,Q1,South East,Sevenoaks,Theatre,"£30,000 and below",
Margate Pride CIC,Margate Pride Festival 2022,"£30,000",26-Apr-22,April,Q1,South East,Thanet,Combined arts,"£30,000 and below",
Indie Novella Ltd,Indie Novella Diversity in Publishing,"£7,000",26-Apr-22,April,Q1,South East,Cherwell,Literature,"£30,000 and below",
Rachael Adams,In the Footsteps of Ravilious,"£28,240",26-Apr-22,April,Q1,South East,Lewes,Visual arts,"£30,000 and below",
Laura Cannell,Echolocation: Resonate from Here,"£24,550",26-Apr-22,April,Q1,South East,Mid Suffolk,Music,"£30,000 and below",
The Sixteen,The Sixteen's Choral Pilgrimage: Building Communities,"£50,000",25-Apr-22,April,Q1,London,City of London,Music,"Above £30,000 - Over £30k Touring project",
Bridget Nkomo,mandla rae - as british as a watermelon - national tour 2022,"£39,000",25-Apr-22,April,Q1,North,Manchester,Theatre,"Above £30,000 - Over £30k Touring project",
Told by an Idiot,Would You Bet Against Us Community Tour,"£45,914",25-Apr-22,April,Q1,London,Southwark,Theatre,"Above £30,000 - Over £30k Touring project",
Neon Dance,Prehension Blooms Premiere & Tour,"£69,308",25-Apr-22,April,Q1,South West,Swindon,Dance,"Above £30,000 - Over £30k Touring project",
Joss Arnott Dance,PULSE! and TIN MAN Touring,"£48,901",25-Apr-22,April,Q1,North,Wakefield,Dance,"Above £30,000 - Over £30k Touring project",
Leap Then Look CIC,"Play Interact Explore - collaborative workshop, exhibition & training programme","£49,587",22-Apr-22,April,Q1,South East,Brighton and Hove,Visual arts,"Above £30,000",
Rhiannon Faith Company,The Care House Development and Delivery,"£65,500",22-Apr-22,April,Q1,South East,Harlow,Dance,"Above £30,000",
New Art Club,Snowed In,"£55,728",22-Apr-22,April,Q1,South East,South Cambridgeshire,Theatre,"Above £30,000",
New Generation Jazz Community Interest Company,New Generation Jazz 2022,"£89,000",22-Apr-22,April,Q1,South East,Brighton and Hove,Music,"Above £30,000",
Fatt Projects,Mobilise 2022,"£70,693",21-Apr-22,April,Q1,Midlands,Birmingham,Combined arts,"Above £30,000",
Fermynwoods Contemporary Art Ltd,Xylophobia,"£99,500",21-Apr-22,April,Q1,Midlands,North Northamptonshire,Visual arts,"Above £30,000",
Control Shift,Control Shift Rewire,"£30,000",20-Apr-22,April,Q1,South West,"Bristol, City of",Combined arts,"£30,000 and below",
Sarah Poekert,"“Supporting accessibility & youth/graduate engagement and discussing social issues through triple bill of immersive dance performances""","£26,594",20-Apr-22,April,Q1,London,Haringey,Dance,"£30,000 and below",
Amy Voris,to return,"£6,478",20-Apr-22,April,Q1,North,Manchester,Dance,"£30,000 and below",
SCOTTEE & FRIENDS LTD,"Rallying Cry - Bristol, Manchester, London Political Outdoor Performance","£21,365",20-Apr-22,April,Q1,South East,Southend-on-Sea,Visual arts,"£30,000 and below",
Elisabeth Ho,Promised Land (2nd R&D),"£9,888",20-Apr-22,April,Q1,South East,Huntingdonshire,Theatre,"£30,000 and below",
The Rainbow Pub Ltd,SGLM The Rainbow,"£25,459",20-Apr-22,April,Q1,Midlands,Birmingham,Music,"£30,000 and below",Supporting Grassroots Live Music
Kamal Macdonald,"OMNI, Research & Development","£22,484",20-Apr-22,April,Q1,North,Leeds,Dance,"£30,000 and below",
St Leonards Festival,St Leonards Festival 2022,"£29,950",20-Apr-22,April,Q1,South East,Rother,Combined arts,"£30,000 and below",
Mark Ashmore,Gabby by Clementine Bogg-Hargroves,"£29,747",20-Apr-22,April,Q1,Midlands,Amber Valley,Theatre,"£30,000 and below",
Cosmopolitan Arts,For The Love Of Jazz,"£30,000",20-Apr-22,April,Q1,Midlands,Oadby and Wigston,Combined arts,"£30,000 and below",
Future Yard CIC,Future Yard Youth Development Programme,"£38,411",20-Apr-22,April,Q1,North,Wirral,Music,"Above £30,000",Supporting Grassroots Live Music
One Miah Group,Give Back Concert,"£30,000",20-Apr-22,April,Q1,London,Tower Hamlets,Music,"£30,000 and below",
TrashArts,Open Ya Mouth Fair 2022,"£25,000",20-Apr-22,April,Q1,South West,Portsmouth,Combined arts,"£30,000 and below",
Wirral Libraries (Wirral Borough Council),Creative Writing 2022,"£22,502",20-Apr-22,April,Q1,North,Wirral,Literature,"£30,000 and below",
Henley Literary festival,Virtual Schools' Programme 2022,"£24,000",20-Apr-22,April,Q1,South East,South Oxfordshire,Literature,"£30,000 and below",
Herts Inclusive Theatre,Enrich Festival,"£17,000",20-Apr-22,April,Q1,South East,Watford,Combined arts,"£30,000 and below",
Jesse Dupre,On The Edge,"£25,918",20-Apr-22,April,Q1,London,Southwark,Theatre,"£30,000 and below",
Gravesham Arts Salon,Gravesham Fringe Festival 2022 - It's Jubilant!,"£27,840",20-Apr-22,April,Q1,South East,Gravesham,Combined arts,"£30,000 and below",
Apricity Theatre Ltd,As You Like It 2022,"£23,878",20-Apr-22,April,Q1,South West,Wiltshire,Theatre,"£30,000 and below",
Loubna Khamlichi,The People - Women in Music,"£29,993",20-Apr-22,April,Q1,South East,Adur,Music,"£30,000 and below",
Veritas Theatre Company,Peekaboo (R&D),"£8,996",20-Apr-22,April,Q1,South East,Vale of White Horse,Theatre,"£30,000 and below",
PROFORMA ARTS LTD,Role Play Governance Longsight,"£25,000",20-Apr-22,April,Q1,North,Salford,Visual arts,"£30,000 and below",
Steven Vevers-Webb,BiGD Festival,"£20,000",20-Apr-22,April,Q1,South East,Medway,Combined arts,"£30,000 and below",
Helen Barff,I wrap my fear around me like a blanket,"£15,467",20-Apr-22,April,Q1,London,Southwark,Visual arts,"£30,000 and below",
Dance Reading CIO,Inspiring Playgrounds,"£29,100",20-Apr-22,April,Q1,South East,Reading,Dance,"£30,000 and below",
We Are Ramped CIC,RAMPED & Off-Centre,"£84,448",20-Apr-22,April,Q1,North,Leeds,Dance,"Above £30,000",
Janan Field,Music-Making for People with Cognitive Disabilities,"£14,780",20-Apr-22,April,Q1,Midlands,West Northamptonshire,Music,"£30,000 and below",
Treehouse Theatre,Goldilocks (touring Pantomine in May#2),"£4,718",20-Apr-22,April,Q1,South West,"Bournemouth, Christchurch and Poole",Theatre,"£30,000 and below",
Ayanna Witter-Johnson,Ayanna Witter-Johnson - Debut Classical Recital,"£4,470",20-Apr-22,April,Q1,London,Tower Hamlets,Music,"£30,000 and below",
Far From The Norm,Far From The Norm 2022,"£99,999",20-Apr-22,April,Q1,London,Kingston upon Thames,Dance,"Above £30,000",
Sumit Sarkar,Plinf,"£27,950",20-Apr-22,April,Q1,North,Manchester,Visual arts,"£30,000 and below",
Sunderland MAC Trust,Summer Streets Festival 2022,"£60,000",20-Apr-22,April,Q1,North,Sunderland,Combined arts,"Above £30,000",
BrightSparks,Leicester Arts in Health Festival,"£19,695",20-Apr-22,April,Q1,Midlands,Leicester,Combined arts,"£30,000 and below",
Rachel Stockdale,Fat Chance 2,"£16,316",20-Apr-22,April,Q1,North,North Tyneside,Theatre,"£30,000 and below",
Lloyd Balatongan,The Filipino Concert Tour,"£6,655",20-Apr-22,April,Q1,Midlands,Derby,Music,"£30,000 and below",Supporting Grassroots Live Music
Hannah Lefeuvre,Early  Weaves,"£15,902",20-Apr-22,April,Q1,South West,South Somerset,Dance,"£30,000 and below",
Saranjit Birdi,"'Bombed - A Trilogy' Exhibition, New Works, Dissemination","£29,560",20-Apr-22,April,Q1,Midlands,Birmingham,Visual arts,"£30,000 and below",
Norwich Puppet Theatre,Stel and Wes Fight the Flood,"£27,177",20-Apr-22,April,Q1,South East,Norwich,Theatre,"£30,000 and below",
Fantastic Journeys CIC,Our Time Version 2,"£12,585",20-Apr-22,April,Q1,Midlands,Sandwell,Combined arts,"£30,000 and below",
Bath Festivals,Accessibility and Inclusivity,"£100,000",19-Apr-22,April,Q1,South West,Bath and North East Somerset,Combined arts,"Above £30,000",
Janine Francois,‘Let the Emerald Village Carry Me,"£16,288",19-Apr-22,April,Q1,London,Waltham Forest,Combined arts,"£30,000 and below",
Culturama,DzFest - The Algerian Festival for Arts & Culture,"£14,500",19-Apr-22,April,Q1,London,Waltham Forest,Combined arts,"£30,000 and below",
Philippa Lawford,Emile and Emily R&D,"£3,130",19-Apr-22,April,Q1,London,Brent,Theatre,"£30,000 and below",
Eloise Hawser,The Press Tracker Project,"£14,772",19-Apr-22,April,Q1,London,Tower Hamlets,Visual arts,"£30,000 and below",
Scarabeus Theatre,Emerging,"£82,000",19-Apr-22,April,Q1,London,Islington,Combined arts,"Above £30,000",
Queer Youth Art Collective CIC,Queer Youth Art Collective #3 - full year programme - 2022/3,"£63,584",19-Apr-22,April,Q1,London,Southwark,Combined arts,"Above £30,000",
Clarisse Makundul,One who wants to cross - Finborough Theatre,"£29,240",19-Apr-22,April,Q1,London,Richmond upon Thames,Theatre,"£30,000 and below",
Christopher Reyes,Developing cross-art live platform CARAVAN social night,"£23,396",19-Apr-22,April,Q1,London,Newham,Combined arts,"£30,000 and below",
Nisha Oza,Produce It: Adding Theatre Producing to the Inclusive Narrative,"£45,487",19-Apr-22,April,Q1,London,Southwark,Theatre,"Above £30,000",
MSL Projects,The Wild Horn Fair,"£30,000",14-Apr-22,April,Q1,South East,Hastings,Music,"£30,000 and below",
Exeter City of Literature,Exeter City of Literature Project Grant Application 2022-2023,"£50,000",14-Apr-22,April,Q1,South West,Exeter,Literature,"Above £15,000",
THE DOT COLLECTIVE,Alice's Adventures in Aerialand,"£18,806",13-Apr-22,April,Q1,London,Southwark,Theatre,"£30,000 and below",
Acrojou,The Future We Choose/ All at Sea,"£20,850",13-Apr-22,April,Q1,South East,Swale,Visual arts,"£30,000 and below",
Peter Aldred,What are we Watching?,"£19,332",13-Apr-22,April,Q1,North,Sheffield,Theatre,"£30,000 and below",
PalFest Sheffield,PalFest Sheffield,"£4,464",13-Apr-22,April,Q1,North,Sheffield,Dance,"£30,000 and below",
BookTastic,Creating an Inclusive Book Festival,"£29,500",13-Apr-22,April,Q1,South East,Bedford,Literature,"£30,000 and below",
Odd Eyes Theatre,Odd Eyes Theatre Organisational Development,"£29,982",13-Apr-22,April,Q1,London,Hackney,Theatre,"£30,000 and below",
Luton Literature,Brown Books Book Festival,"£30,000",13-Apr-22,April,Q1,South East,Luton,Literature,"£30,000 and below",
Three Left Feet Productions,Shake Up Shakespeare,"£14,590",13-Apr-22,April,Q1,North,Lancaster,Theatre,"£30,000 and below",
The Fedora Group,Promenading with Mr. McGill,"£12,000",13-Apr-22,April,Q1,South East,Brighton and Hove,Combined arts,"£30,000 and below",Unlocking Collections
Read Now Write Now,The Future: Summer Creative Writing Project for Children,"£27,105",13-Apr-22,April,Q1,North,Wirral,Literature,"£30,000 and below",
Wesley Stephenson,Newcastle Festival of Jazz and Improvised Music 2022,"£13,947",13-Apr-22,April,Q1,North,Newcastle upon Tyne,Music,"£30,000 and below",Supporting Grassroots Live Music
Amy Vickers,Glowing,"£29,877",13-Apr-22,April,Q1,North,Bury,Theatre,"£30,000 and below",
Brighton Early Music Festival,"BREMF@Midsummer: A bold new event series aimed at celebrating ‘early’ music in its broadest sense, from raunchy medieval, via traditional folk and bluegrass, British Indian music and dance and family events to appeal to the local community and beyond","£17,000",13-Apr-22,April,Q1,South East,Brighton and Hove,Music,"£30,000 and below",
Nicole Tatschl,In My Body,"£10,730",13-Apr-22,April,Q1,London,Southwark,Visual arts,"£30,000 and below",
Willowbrook Farm Charity,WAM (Willowbrook Arts & Music Festival) 2022,"£29,500",13-Apr-22,April,Q1,South East,Cherwell,Combined arts,"£30,000 and below",
Donna Fitzgerald,Vivienne Sometimes: A Life of Vivian Haigh-Wood Eliot,"£19,845",13-Apr-22,April,Q1,South East,Canterbury,Visual arts,"£30,000 and below",
